Text,Created At,Is Retweet,Language,User Location,"label (0:misinformation, 1: counter-misinformation, 2: irrelevant)","Is_Sarcasm (1: Not_Sarcasm, 2: Sarcasm)"
"This is the top trump of tin foil hat conspiracy nonsense - coronavirus, chemtrails, vaccines, and 5G https://t.co/7b7dymSkUA",Fri Feb 28 22:16:24 +0000 2020,FALSE,en,"Gleann Rathais, Scotland",1,2
IAM Platform Curated Tweet:  Social media conspiracies blame coronavirus on 5G internet   https://t.co/CIShmti0F2  #5G #Applications #CellPhone #Communications #FastInternet #InternetWP2TWTR1,Fri Feb 28 10:01:28 +0000 2020,FALSE,en,Worldwide,1,2
@TechCrunch @bheater Conspiracy has it that this is the company that rolled out 5g in China and is the real cause of the #coronavirus ....interesting conspiracy,Fri Feb 28 05:04:38 +0000 2020,FALSE,en,"Michigan, USA",1,2
"@jeannette_ng There’s another that’s raising its head now: conspiracy theories that deny Covid19 is a natural disease. They’ve decided it’s a bio weapon developed in China &amp; activated by chem trails &amp; 5g microwaves. So, they say, public health measures are actually counterproductive.",Fri Feb 28 22:56:06 +0000 2020,FALSE,en,Traditional Chinook Land,1,2
"So my bass teacher is an old hippie who very clearly messed up his brains a fair bit during his free love years, which leads to some strange pathways. Because of some YouTube videos and conspiracy sites he's convinced the Coronavirus is actually 5g destroying hemoglobin",Fri Feb 28 03:01:58 +0000 2020,FALSE,en,"Washington, USA",1,2
@treasureswonder jQnah @JfkJuni0r · 8h Corona virus won't happen in the United States.   5G will not take place under trump,Fri Feb 28 02:53:30 +0000 2020,FALSE,en,TRUTH over Parties,2,1
Oh dear. It’s like conspiracy theory madlibs: “You can now find posts accusing governments of engineering Covid-19 in a laboratory or that 5G has weakened people's immune systems making them vulnerable to the virus.” https://t.co/AbpLgP5Y39,Fri Feb 28 19:27:53 +0000 2020,FALSE,en,"Manchester, UK",1,2
@realDonaldTrump   @senatemajldr  @GOPLeader  @LouDobbs  @seanhannity   China has realeased a new High Powered 5G phone.  It has been said it causes the same symptoms as the Coronavirus.  China is heavy invested in this phone along with George Soros.  This needs checked out!,Fri Feb 28 15:12:43 +0000 2020,FALSE,en,,0,2
"Covid 19, Wuhan, Corona...is the misnaming of this 'disease' indicative of us nit understanding the true cause. As indicated below this may be an 'allergic reaction' to 5G tech   https://t.co/Q4Fg4Xpcsc https://t.co/wIW3JXQ8UF",Fri Feb 28 21:00:10 +0000 2020,FALSE,en,Buckeye AZ,0,1
"This coronavirus conspiracy theory is pretty impressive. It combines antivaxx, chemtrails, 5G and Trump’s space force in one compact bundle of insanity https://t.co/zvywZz6JGR",Fri Feb 28 15:08:58 +0000 2020,FALSE,en,Stoke-on-Trent,1,2
